,work_year,experience_level,job_title,remote_ratio,company_size,company_region,adj_salary_usd,remote_ratio_str
0,2023,SE,others,100,L,Europe,81759.0,100
1,2023,MI,others,100,S,Americas,28571.0,100
2,2023,MI,others,100,S,Americas,24286.0,100
3,2023,SE,Data Scientist,100,M,Americas,166667.0,100
4,2023,SE,Data Scientist,100,M,Americas,114286.0,100
5,2023,SE,others,0,L,Americas,211619.0,0
6,2023,SE,others,0,L,Americas,129524.0,0
7,2023,SE,Data Scientist,0,M,Americas,208571.0,0
8,2023,SE,Data Scientist,0,M,Americas,134286.0,0
9,2023,SE,Data Scientist,0,M,Americas,140095.0,0
10,2023,SE,Data Scientist,0,M,Americas,86381.0,0
11,2023,SE,Data Analyst,100,M,Americas,123810.0,100
12,2023,SE,Data Analyst,100,M,Americas,95238.0,100
13,2023,EN,others,0,L,Americas,203486.0,0
14,2023,EN,others,0,L,Americas,124533.0,0
15,2023,SE,others,0,M,Americas,140095.0,0
16,2023,SE,others,0,M,Americas,86381.0,0
17,2023,SE,Data Scientist,0,M,Americas,161905.0,0
18,2023,SE,Data Scientist,0,M,Americas,142857.0,0
19,2023,MI,Data Analyst,100,M,Americas,142857.0,100
20,2023,MI,Data Analyst,100,M,Americas,104762.0,100
21,2023,SE,others,0,M,Europe,261905.0,0
22,2023,SE,others,0,M,Europe,165714.0,0
23,2023,SE,Analytics Engineer,100,M,Europe,219048.0,100
24,2023,SE,Analytics Engineer,100,M,Europe,136381.0,100
25,2023,SE,others,0,M,Americas,214286.0,0
26,2023,SE,others,0,M,Americas,148952.0,0
27,2023,SE,Machine Learning Engineer,0,M,Americas,190476.0,0
28,2023,SE,Machine Learning Engineer,0,M,Americas,123810.0,0
29,2023,SE,others,0,M,Americas,85714.0,0
30,2023,SE,others,0,M,Americas,68571.0,0
31,2023,SE,Data Engineer,0,M,Americas,241143.0,0
32,2023,SE,Data Engineer,0,M,Americas,86381.0,0
33,2023,SE,others,0,M,Americas,326486.0,0
34,2023,SE,others,0,M,Americas,175800.0,0
35,2023,MI,Data Engineer,0,M,Americas,154762.0,0
36,2023,MI,Data Engineer,0,M,Americas,123810.0,0
37,2023,MI,Data Analyst,0,M,Americas,100362.0,0
38,2023,MI,Data Analyst,0,M,Americas,61429.0,0
39,2023,EN,others,100,L,Africa,95238.0,100
40,2023,EN,others,100,L,Africa,28571.0,100
41,2022,MI,Machine Learning Engineer,50,L,Asia,19703.0,50
42,2023,EN,others,0,L,Americas,194876.0,0
43,2023,EN,others,0,L,Americas,105410.0,0
44,2023,SE,Data Engineer,0,M,Americas,257812.0,0
45,2023,SE,Data Engineer,0,M,Americas,210937.0,0
46,2023,SE,Data Scientist,100,M,Americas,202619.0,100
47,2023,SE,Data Scientist,100,M,Americas,176190.0,100
48,2023,SE,Data Scientist,100,M,Americas,249524.0,100
49,2023,SE,Data Scientist,100,M,Americas,233333.0,100
50,2023,SE,Data Scientist,100,M,Americas,262190.0,100
51,2023,SE,Data Scientist,100,M,Americas,174762.0,100
52,2023,SE,Data Scientist,100,M,Americas,208095.0,100
53,2023,SE,Data Scientist,100,M,Americas,189617.0,100
